,NucID,NucID,spiked,pollen_thiam_0,pollen_thiam_4,pollen_thiam_8,pollen_thiam_12,pollen_cloth_0,pollen_cloth_4,pollen_cloth_8,pollen_cloth_12,pollen_allneo_0,pollen_allneo_4,pollen_allneo_8,pollen_allneo_12,thi_slope,clo_slope,all_slope
22,1-Jun,6-1,no,14.596,12.119,4.168,5.311,48.573,46.7,13.257,18.626,67.749,61.352,18.687,26.397,-0.89515,-3.0821,-4.168025
24,3-Jun,6-3,no,2.217,5.097,3.663,3.464,14.671,13.356,24.158,15.63,18.143,20.371,30.101,22.231,0.057675,0.341975,0.54985
25,4-Jun,6-4,no,1.765,1.447,1.339,1.676,4.607,7.727,10.906,7.197,7.495,11.569,14.665,11.898,-0.009375,0.273725,0.407625
39,2-Jul,7-2,no,21.034,9.273,11.486,14.676,23.947,30.902,82.863,67.729,47.879,43.336,100.704,89.51,-0.421525,4.582675,4.556525
40,3-Jul,7-3,no,0,0.728,4.358,0,0,2.171,1.578,0,0.824,4.631,10.977,2.48,0.09075,-0.014825,0.28285
41,5-Jul,7-5,no,29.824,26.518,56.496,44.906,152.612,135.5,419.497,358.343,184.593,166.564,484.481,411.113,1.8806,22.52975,24.936925
54,1-Aug,8-1,no,0.398,0,0.743,0.789,0.909,0,0,0,1.865,0.825,3.774,7.353,0.0479,-0.068175,0.485325
55,2-Aug,8-2,no,2.032,13.896,19.077,18.274,10.351,18.349,21.93,43.449,15.998,59.548,108.752,108.212,1.347675,2.571875,8.14615
56,4-Aug,8-4,no,0,0,0,0,0,0,0,0,1.103,3.014,4.301,0.654,,0,-0.0015
57,5-Aug,8-5,no,0.243,0.846,0,0,0,0,0,0,2.437,4.563,2.767,2.322,-0.039375,0,-0.053525
75,2-Sep,9-2,no,3.141,3.61,2.341,2.345,3.579,27.191,31.343,5.745,8.603,37.446,37.01,10.172,-0.091425,0.26625,0.106775
76,3-Sep,9-3,no,0.821,2.805,3.17,0.343,6.298,5.241,7.567,4.14,9.714,9.666,13.048,6.665,-0.026725,-0.1037,-0.144125
77,4-Sep,9-4,no,3.25,6.703,0,4.257,6.247,0,0.523,6.101,12.005,12.124,4.609,13.325,-0.09205,0.002125,-0.088875
78,5-Sep,9-5,no,3.237,2.898,3.824,4.14,7.777,8.306,8.414,4.337,13.985,14.397,15.124,10.407,0.090875,-0.2553,-0.250175
79,6-Sep,9-6,no,2.253,7.227,0.336,2.68,3.027,6.959,5.429,6.131,10.233,19.367,8.449,11.36,-0.14025,0.19455,-0.188425
80,8-Sep,9-8,no,11.354,2.898,3.396,20.508,13.355,4.045,8.65,14.143,26.676,8.474,14.109,44.035,0.699,0.174225,1.4428
