site_code,per_corn,daily_mortality_plt,daily_mort_may,mean_thi_may,mean_clo_may,mean_ct_may,mean_thi_planting,mean_clo_planting,mean_ct_planting,bees_cm2_4,bees_cm2_5,bees_cm2_6,bees_cm2_8,date_4,date_5,date_6,date_8
BG,22,1.051359775,0.119948108,6.081666667,5.866777778,11.94844444,11.755,9.893,21.648,12622.18,9446.1,6680.72,16291.1,04/29/2015,05/21/2015,06/22/2015,08/18/2015
DS,1,0.991587489,0.161895245,1.490777778,4.080444444,5.571222222,2.814666667,7.469,10.28366667,15332.8,23273,8159.24,13142.4,04/27/2015,05/21/2015,06/19/2015,08/19/2015
FSR,49,1.676940638,0.173394478,4.82775,9.139375,13.967125,10.219,24.579,34.798,6653.34,8104.48,23450.97,17947.59,04/27/2015,05/21/2015,06/24/2015,08/17/2015
HR,30,0.959180946,0.005853495,2.869,9.561777778,12.43077778,6.291,21.75933333,28.05033333,5841.066667,5676.786667,11919.42667,17295.03333,04/28/2015,05/20/2015,06/22/2015,08/14/2015
IB,22,0.567821225,0.055341812,3.796777778,4.551888889,8.348666667,3.832333333,7.999,11.83133333,7803.3,6297.4,7885.44,21274.26,04/28/2015,05/20/2015,06/22/2015,08/17/2015
MB,19,0.630509924,0.093388841,2.088888889,6.139111111,8.228,3.985,10.596,14.581,3326.67,5667.66,19343.97,15127.45,05/01/2015,05/21/2015,06/22/2015,08/22/2015
MO,39,0.890885121,0.116809071,1.498777778,6.257444444,7.756222222,2.604666667,13.96,16.56466667,3787.566667,11764.27333,13972.92667,13051.13333,04/30/2015,05/22/2015,06/24/2015,08/18/2015
SC,8,0.557895802,0.085869496,3.209333333,8.603555556,11.81288889,2.539666667,21.56366667,24.10333333,7511.246667,8159.24,9126.666667,12631.30667,04/29/2015,05/21/2015,06/22/2015,08/18/2015
TV,31,0.951703623,0.112411043,3.596666667,9.572666667,13.16933333,7.036,20.28,27.316,8953.26,4709.36,9637.76,12375.76,04/28/2015,05/20/2015,06/23/2015,08/14/2015
WB,30,0.328982,0.090912312,6.394666667,6.260444444,12.65511111,11.38633333,11.296,22.68233333,4545.08,5270.65,20493.93,13566.79,04/30/2015,05/21/2015,06/22/2015,08/18/2015
