yr_site,site_abv,% corn,daily mortality_plt,daily_mort_may,Date,month#,Hive_No,Seams_bees,bees_cm2,capped_cm2,open_cm2,pollen_cm2,nectar_cm2,empty_cm2,fondation_cm2,total_comb,capped_%comb,open_%comb,pollen_%comb,nectar_%comb,empty_%comb,drone_cm2,Varroa(Incomplete)
2015MO,MO,39%,0.890885121,0.116809071,430,4,1,5,3340.36,3285.6,2354.68,273.8,1807.08,876.16,3230.84,8597.32,38.22%,27.39%,3.18%,21.02%,10.19%,0,
2015MO,MO,39%,0.890885121,0.116809071,430,4,2,7,3559.4,4435.56,602.36,657.12,2245.16,1533.28,2354.68,9473.48,46.82%,6.36%,6.94%,23.70%,16.18%,0,
2015SC,SC,8%,0.557895802,0.085869496,429,4,3,6,4435.56,4161.76,2847.52,766.64,2080.88,2738,1204.72,12594.8,33.04%,22.61%,6.09%,16.52%,21.74%,0,
2015SC,SC,8%,0.557895802,0.085869496,429,4,4,6,4654.6,3723.68,3121.32,383.32,2738,1861.84,1971.36,11828.16,31.48%,26.39%,3.24%,23.15%,15.74%,0,
2015HR,HR,30%,0.959180946,0.005853495,428,4,5,6,3121.32,2409.44,1204.72,328.56,2957.04,7940.2,11444.84,14839.96,16.24%,8.12%,2.21%,19.93%,53.51%,0,
2015HR,HR,30%,0.959180946,0.005853495,428,4,6,8,2902.28,2518.96,1588.04,54.76,3230.84,12101.96,6790.24,19494.56,12.92%,8.15%,0.28%,16.57%,62.08%,0,
2015FSR,FSR,49%,1.676940638,0.173394478,427,4,8,5,5695.04,766.64,328.56,54.76,2628.48,8214,3778.44,11992.44,6.39%,2.74%,0.46%,21.92%,68.49%,0,
2015FSR,FSR,49%,1.676940638,0.173394478,427,4,9,5,6899.76,766.64,1642.8,219.04,4326.04,5202.2,3614.16,12156.72,6.31%,13.51%,1.80%,35.59%,42.79%,0,
2015MB,MB,19%,0.630509924,0.093388841,501,4,10,4,2628.48,1752.32,1697.56,164.28,1314.24,1040.44,5859.32,5968.84,29.36%,28.44%,2.75%,22.02%,17.43%,0,
2015MB,MB,19%,0.630509924,0.093388841,501,4,11,4,2957.04,1149.96,2409.44,54.76,1204.72,1259.48,5749.8,6078.36,18.92%,39.64%,0.90%,19.82%,20.72%,0,
