Trial ,NucID,DaysElapsed,pollen_thiam,pollen_cloth,pollen_allneo,spiked
4,4 - 1 ,0,9.189,9.055,21.282,no
4,4 - 2,0,2.702,3.951,9.705,no
4,4 - 4,0,3.831,46.556,53.651,no
4,4 - 5,0,1.816,8.293,12.368,no
4,4 - 1 ,4,,,,no
4,4 - 2,4,1.014,2.829,10.84,no
4,4 - 4,4,3.51,7.468,11.871,no
4,4 - 5,4,10.201,25.177,40.518,no
4,4 - 1 ,8,,,,no
4,4 - 2,8,1.667,0,3.195,no
4,4 - 4,8,2.559,5.923,10.369,no
4,4 - 5,8,4.479,35.739,42.11,no
5,5 - 1,0,8.691,1.901,13.392,no
5,5 - 4,0,3.659,7.449,14.125,no
5,5 - 5,0,5.436,33.377,41.993,no
5,5 - 1,3,0,0,1.283,no
5,5 - 4,3,3.599,6.458,11.555,no
5,5 - 5,3,8.404,32.138,49.328,no
5,5 - 1,10,0.881,0,2.555,no
5,5 - 4,10,0.888,5.738,8.7,no
5,5 - 5,10,9.423,36.574,49.335,no
6,6 - 1,0,14.596,48.573,67.749,no
6,6 - 2,0,0.747,86.165,88.778,yes
6,6 - 3,0,2.217,14.671,18.143,no
6,6 - 4,0,1.765,4.607,7.495,no
6,6 - 1,4,12.119,46.7,61.352,no
6,6 - 2,4,2.109,78.51,84.798,yes
6,6 - 3,4,5.097,13.356,20.371,no
6,6 - 4,4,1.447,7.727,11.569,no
6,6 - 1,8,4.168,13.257,18.687,no
6,6 - 2,8,5.502,103.676,110.932,yes
6,6 - 3,8,3.663,24.158,30.101,no
6,6 - 4,8,1.339,10.906,14.665,no
6,6 - 1,12,5.311,18.626,26.397,no
6,6 - 2,12,1.615,121.857,125.37,yes
6,6 - 3,12,3.464,15.63,22.231,no
6,6 - 4,12,1.676,7.197,11.898,no
7,7 - 1,0,1.54,78.837,82.703,yes
7,7 - 2,0,21.034,23.947,47.879,no
7,7 - 3,0,0,0,0.824,no
7,7 - 5,0,29.824,152.612,184.593,no
7,7 - 1,4,0.794,83.337,85.899,yes
7,7 - 2,4,9.273,30.902,43.336,no
7,7 - 3,4,0.728,2.171,4.631,no
7,7 - 5,4,26.518,135.5,166.564,no
7,7 - 1,8,0.385,301.236,307.665,yes
7,7 - 2,8,11.486,82.863,100.704,no
7,7 - 3,8,4.358,1.578,10.977,no
7,7 - 5,8,56.496,419.497,484.481,no
7,7 - 1,12,3.007,217.772,224.332,yes
7,7 - 2,12,14.676,67.729,89.51,no
7,7 - 3,12,0,0,2.48,no
7,7 - 5,12,44.906,358.343,411.113,no
8,8 - 1,0,0.398,0.909,1.865,no
8,8 - 2,0,2.032,10.351,15.998,no
8,8 - 4,0,0,0,1.103,no
8,8 - 5,0,0.243,0,2.437,no
8,8 - 6,0,0,19.803,20.623,yes
8,8 - 1,4,0,0,0.825,no
8,8 - 2,4,13.896,18.349,59.548,no
8,8 - 4,4,0,0,3.014,no
8,8 - 5,4,0.846,0,4.563,no
8,8 - 6,4,1.196,154.951,159.574,yes
8,8 - 1,8,0.743,0,3.774,no
8,8 - 2,8,19.077,21.93,108.752,no
8,8 - 4,8,0,0,4.301,no
8,8 - 5,8,0,0,2.767,no
8,8 - 6,8,1.548,141.504,145.773,yes
8,8 - 1,12,0.789,0,7.353,no
8,8 - 2,12,18.274,43.449,108.212,no
8,8 - 4,12,0,0,0.654,no
8,8 - 5,12,0,0,2.322,no
8,8 - 6,12,0,52.953,55.232,yes
9,9 - 1,0,0,46.823,49.478,yes
9,9 - 2,0,3.141,3.579,8.603,no
9,9 - 3,0,0.821,6.298,9.714,no
9,9 - 4,0,3.25,6.247,12.005,no
9,9 - 5,0,3.237,7.777,13.985,no
9,9 - 6,0,2.253,3.027,10.233,no
9,9 - 8,0,11.354,13.355,26.676,no
9,9 - 1,4,2.672,3.831,10.021,yes
9,9 - 2,4,3.61,27.191,37.446,no
9,9 - 3,4,2.805,5.241,9.666,no
9,9 - 4,4,6.703,0,12.124,no
9,9 - 5,4,2.898,8.306,14.397,no
9,9 - 6,4,7.227,6.959,19.367,no
9,9 - 8,4,2.898,4.045,8.474,no
9,9 - 1,8,7.207,10.368,21.146,yes
9,9 - 2,8,2.341,31.343,37.01,no
9,9 - 3,8,3.17,7.567,13.048,no
9,9 - 4,8,0,0.523,4.609,no
9,9 - 5,8,3.824,8.414,15.124,no
9,9 - 6,8,0.336,5.429,8.449,no
9,9 - 8,8,3.396,8.65,14.109,no
9,9 - 1,12,0.472,57.595,61.257,yes
9,9 - 2,12,2.345,5.745,10.172,no
9,9 - 3,12,0.343,4.14,6.665,no
9,9 - 4,12,4.257,6.101,13.325,no
9,9 - 5,12,4.14,4.337,10.407,no
9,9 - 6,12,2.68,6.131,11.36,no
9,9 - 8,12,20.508,14.143,44.035,no
