"","x"
"1",-1857.15101060117
"2",-1857.15101060117
"3",-1834.05210375749
"4",-1805.37774099384
"5",-1805.37774099384
"6",-1805.37774099384
"7",-1803.17261064294
"8",-1803.17261064294
"9",-1803.17261064294
"10",-1803.17261064294
"11",-1798.37420424213
"12",-1798.37420424213
"13",-1798.37420424213
"14",-1798.21720393394
"15",-1798.21720393394
"16",-1777.82706233449
"17",-1777.82706233449
"18",-1777.82706233449
"19",-1777.82706233449
"20",-1777.82706233449
"21",-1777.82706233449
"22",-1777.82706233449
"23",-1777.82706233449
"24",-1749.63809523065
"25",-1749.63809523065
"26",-1749.63809523065
"27",-1749.63809523065
"28",-1749.63809523065
"29",-1749.63809523065
"30",-1749.63809523065
"31",-1749.63809523065
"32",-1749.63809523065
"33",-1749.63809523065
"34",-1749.63809523065
"35",-1749.63809523065
"36",-1749.63809523065
"37",-1749.63809523065
"38",-1749.63809523065
"39",-1749.63809523065
"40",-1747.45681501223
"41",-1747.45681501223
"42",-1748.41446650452
"43",-1748.41446650452
"44",-1748.41446650452
"45",-1748.41446650452
"46",-1745.6677410282
"47",-1745.6677410282
"48",-1745.73772337477
"49",-1745.78568174815
"50",-1746.96521360418
"51",-1746.96521360418
"52",-1745.77231814874
"53",-1745.77231814874
"54",-1745.77231814874
"55",-1745.77231814874
"56",-1746.14685765431
"57",-1746.14685765431
"58",-1746.14685765431
"59",-1745.81916232646
"60",-1745.81916232646
"61",-1746.78732062731
"62",-1746.78732062731
"63",-1743.26016756642
"64",-1743.26016756642
"65",-1743.26016756642
"66",-1743.26016756642
"67",-1732.9822644345
"68",-1732.9822644345
"69",-1732.9822644345
"70",-1730.45242910233
"71",-1727.03975533951
"72",-1723.26938025591
"73",-1723.26938025591
"74",-1721.09761531196
"75",-1721.09761531196
"76",-1721.09761531196
"77",-1721.09761531196
"78",-1721.09761531196
"79",-1721.09761531196
"80",-1713.5597676556
"81",-1713.5597676556
"82",-1713.5597676556
"83",-1713.5597676556
"84",-1713.5597676556
"85",-1713.5597676556
"86",-1713.5597676556
"87",-1713.5597676556
"88",-1713.5597676556
"89",-1713.5597676556
"90",-1713.5597676556
"91",-1713.5597676556
"92",-1713.5597676556
"93",-1713.5597676556
"94",-1713.5597676556
"95",-1713.5597676556
"96",-1713.5597676556
"97",-1713.70365761527
"98",-1713.70365761527
"99",-1713.8145319611
"100",-1713.8145319611
"101",-1713.8145319611
"102",-1714.7989589159
"103",-1714.7989589159
"104",-1713.62737543295
"105",-1713.62737543295
"106",-1713.62737543295
"107",-1713.62737543295
"108",-1713.62737543295
"109",-1713.62737543295
"110",-1716.69902147528
"111",-1716.69902147528
"112",-1716.69902147528
"113",-1714.59876550269
"114",-1714.59876550269
"115",-1713.62906375743
"116",-1713.62906375743
"117",-1713.62906375743
"118",-1713.62906375743
"119",-1713.62906375743
"120",-1713.62906375743
"121",-1714.78437791899
"122",-1714.78437791899
"123",-1714.78437791899
"124",-1714.78437791899
"125",-1714.78437791899
"126",-1714.29441964938
"127",-1714.29441964938
"128",-1713.80451697053
"129",-1713.80451697053
"130",-1713.80451697053
"131",-1713.80451697053
"132",-1713.80451697053
"133",-1713.7525615877
"134",-1713.7525615877
"135",-1713.7525615877
"136",-1713.7525615877
"137",-1713.7525615877
"138",-1713.62186927094
"139",-1713.62186927094
"140",-1713.62186927094
"141",-1713.87628221854
"142",-1714.44463029875
"143",-1714.16980445679
"144",-1714.16980445679
"145",-1714.16980445679
"146",-1714.16980445679
"147",-1714.16980445679
"148",-1714.16980445679
"149",-1714.16980445679
"150",-1714.16980445679
"151",-1714.16980445679
"152",-1714.05806736408
"153",-1714.05806736408
"154",-1714.05806736408
"155",-1714.05806736408
"156",-1714.05806736408
"157",-1714.05806736408
"158",-1714.05806736408
"159",-1714.05806736408
"160",-1716.50843778001
"161",-1715.3009124781
"162",-1714.16311829644
"163",-1714.16311829644
"164",-1714.16311829644
"165",-1714.16311829644
"166",-1714.16311829644
"167",-1714.16311829644
"168",-1714.01672764269
"169",-1713.72402656949
"170",-1713.68798765952
"171",-1713.68798765952
"172",-1713.83620063105
"173",-1713.83620063105
"174",-1713.72460907844
"175",-1713.72460907844
"176",-1713.50533889202
"177",-1713.50533889202
"178",-1713.50533889202
"179",-1713.50533889202
"180",-1715.3009124781
"181",-1715.3009124781
"182",-1716.04367555323
"183",-1715.79954312808
"184",-1715.79954312808
"185",-1715.79954312808
"186",-1715.79954312808
"187",-1715.79954312808
"188",-1715.79954312808
"189",-1715.79954312808
"190",-1715.22475474462
"191",-1714.58983643779
"192",-1714.58983643779
"193",-1713.84220220044
"194",-1713.84220220044
"195",-1713.84220220044
"196",-1713.84220220044
"197",-1713.84220220044
"198",-1713.84220220044
"199",-1713.84220220044
"200",-1713.79360137413
"201",-1713.79360137413
"202",-1713.79360137413
"203",-1713.79360137413
"204",-1713.79360137413
"205",-1713.79360137413
"206",-1713.79360137413
"207",-1713.79360137413
"208",-1713.79360137413
"209",-1714.05806736408
"210",-1714.05806736408
"211",-1714.05806736408
"212",-1714.05806736408
"213",-1714.31249141352
"214",-1714.31249141352
"215",-1713.62728649961
"216",-1713.62728649961
"217",-1713.62728649961
"218",-1715.42068698846
"219",-1715.42068698846
"220",-1715.42068698846
"221",-1715.42068698846
"222",-1715.42068698846
"223",-1715.42068698846
"224",-1715.42068698846
"225",-1713.91581303781
"226",-1713.91581303781
"227",-1713.91581303781
"228",-1713.91581303781
"229",-1713.70765569263
"230",-1713.83620063105
"231",-1714.01672764269
"232",-1714.01672764269
"233",-1714.01672764269
"234",-1714.01672764269
"235",-1714.01672764269
"236",-1714.01672764269
"237",-1714.01672764269
"238",-1713.86136782542
"239",-1713.86136782542
"240",-1713.60252316141
"241",-1713.60252316141
"242",-1713.66769494977
"243",-1713.66769494977
"244",-1713.66769494977
"245",-1713.66769494977
"246",-1713.66769494977
"247",-1713.66769494977
"248",-1713.66769494977
"249",-1713.66769494977
"250",-1713.66769494977
"251",-1715.39415478
"252",-1715.39415478
"253",-1715.39415478
"254",-1714.78571636136
"255",-1714.78571636136
"256",-1714.78571636136
"257",-1714.78571636136
"258",-1714.78571636136
"259",-1714.78571636136
"260",-1714.78571636136
"261",-1714.78571636136
"262",-1713.9369114353
"263",-1713.9369114353
"264",-1713.9369114353
"265",-1713.9369114353
"266",-1714.17335851263
"267",-1714.17335851263
"268",-1714.17335851263
"269",-1714.17335851263
"270",-1714.17335851263
"271",-1714.17335851263
"272",-1714.17335851263
"273",-1714.17335851263
"274",-1714.17335851263
"275",-1714.17335851263
"276",-1714.17335851263
"277",-1713.72402656949
"278",-1713.72402656949
"279",-1713.72402656949
"280",-1713.72402656949
"281",-1714.38134314528
"282",-1714.38134314528
"283",-1714.38134314528
"284",-1713.7525615877
"285",-1713.7525615877
"286",-1713.82517520285
"287",-1713.82517520285
"288",-1713.82517520285
"289",-1713.82517520285
"290",-1713.82517520285
"291",-1713.82517520285
"292",-1713.82517520285
"293",-1713.82517520285
"294",-1713.82517520285
"295",-1713.82517520285
"296",-1713.82517520285
"297",-1713.82517520285
"298",-1713.82517520285
"299",-1713.82517520285
"300",-1713.82517520285
"301",-1713.82517520285
"302",-1713.82517520285
"303",-1713.82517520285
"304",-1713.82517520285
"305",-1713.74050868719
"306",-1713.74050868719
"307",-1713.74050868719
"308",-1713.74050868719
"309",-1713.74050868719
"310",-1713.74050868719
"311",-1713.74050868719
"312",-1713.74050868719
"313",-1713.74050868719
"314",-1713.74050868719
"315",-1713.74050868719
"316",-1713.74050868719
"317",-1713.74050868719
"318",-1713.74050868719
"319",-1713.74050868719
"320",-1714.53690617731
"321",-1713.84220220044
"322",-1713.87547474354
"323",-1714.48757393506
"324",-1714.48757393506
"325",-1714.48757393506
"326",-1714.48757393506
"327",-1714.48757393506
"328",-1713.91581303781
"329",-1713.91581303781
"330",-1713.91581303781
"331",-1713.91581303781
"332",-1713.91581303781
"333",-1715.18004330595
"334",-1715.18004330595
"335",-1715.18004330595
"336",-1713.5845508985
"337",-1713.5845508985
"338",-1715.49526711177
"339",-1715.49526711177
"340",-1713.78909626101
"341",-1713.78909626101
"342",-1713.78909626101
"343",-1713.78909626101
"344",-1713.78909626101
"345",-1713.78909626101
"346",-1714.10362250519
"347",-1714.10362250519
"348",-1713.87206469267
"349",-1713.87206469267
"350",-1713.87206469267
"351",-1714.53690617731
"352",-1714.53690617731
"353",-1714.53690617731
"354",-1713.56679430191
"355",-1713.56679430191
"356",-1713.56679430191
"357",-1713.56679430191
"358",-1713.56679430191
"359",-1713.56679430191
"360",-1713.56679430191
"361",-1713.56679430191
"362",-1713.56679430191
"363",-1713.64066235776
"364",-1713.64066235776
"365",-1714.08744085641
"366",-1714.08744085641
"367",-1716.88539250961
"368",-1715.18004330595
"369",-1715.37160712943
"370",-1715.37160712943
"371",-1715.37160712943
"372",-1715.37160712943
"373",-1714.1333235573
"374",-1714.1333235573
